-----1035 1035 call53<__wasilibc_populate_preopens>
----1035-0b 1035 call53<__wasilibc_populate_preopens> 0b end
---1035-0b-00 1035 call53<__wasilibc_populate_preopens> 0b end 00 unreachable
--1035-0b-00-0b 1035 call53<__wasilibc_populate_preopens> 0b end 00 unreachable 0b end
-1035-0b-00-0b-017f 1035 call53<__wasilibc_populate_preopens> 0b end 00 unreachable 0b end 017f local[3]type=i32
1035-0b-00-0b-017f-0240 1035 call53<__wasilibc_populate_preopens> 0b end 00 unreachable 0b end 017f local[3]type=i32 0240 block
0b-00-0b-017f-0240-0240 0b end 00 unreachable 0b end 017f local[3]type=i32 0240 block 0240 block
00-0b-017f-0240-0240-4100 00 unreachable 0b end 017f local[3]type=i32 0240 block 0240 block 4100 i32.const0
0b-017f-0240-0240-4100-2802b0d4808000 0b end 017f local[3]type=i32 0240 block 0240 block 4100 i32.const0 2802b0d4808000 i32.load210800
017f-0240-0240-4100-2802b0d4808000-0d00 017f local[3]type=i32 0240 block 0240 block 4100 i32.const0 2802b0d4808000 i32.load210800 0d00 br_if0
0240-0240-4100-2802b0d4808000-0d00-4100 0240 block 0240 block 4100 i32.const0 2802b0d4808000 i32.load210800 0d00 br_if0 4100 i32.const0
0240-4100-2802b0d4808000-0d00-4100-4101 0240 block 4100 i32.const0 2802b0d4808000 i32.load210800 0d00 br_if0 4100 i32.const0 4101 i32.const1
4100-2802b0d4808000-0d00-4100-4101-3602b0d4808000 4100 i32.const0 2802b0d4808000 i32.load210800 0d00 br_if0 4100 i32.const0 4101 i32.const1 3602b0d4808000 i32.store210800
2802b0d4808000-0d00-4100-4101-3602b0d4808000-108c80808000 2802b0d4808000 i32.load210800 0d00 br_if0 4100 i32.const0 4101 i32.const1 3602b0d4808000 i32.store210800 108c80808000 call12<__wasm_call_ctors>
0d00-4100-4101-3602b0d4808000-108c80808000-10a180808000 0d00 br_if0 4100 i32.const0 4101 i32.const1 3602b0d4808000 i32.store210800 108c80808000 call12<__wasm_call_ctors> 10a180808000 call33<__main_void>
4100-4101-3602b0d4808000-108c80808000-10a180808000-2100 4100 i32.const0 4101 i32.const1 3602b0d4808000 i32.store210800 108c80808000 call12<__wasm_call_ctors> 10a180808000 call33<__main_void> 2100 local.set0
4101-3602b0d4808000-108c80808000-10a180808000-2100-10b180808000 4101 i32.const1 3602b0d4808000 i32.store210800 108c80808000 call12<__wasm_call_ctors> 10a180808000 call33<__main_void> 2100 local.set0 10b180808000 call49<__wasm_call_dtors>
3602b0d4808000-108c80808000-10a180808000-2100-10b180808000-2000 3602b0d4808000 i32.store210800 108c80808000 call12<__wasm_call_ctors> 10a180808000 call33<__main_void> 2100 local.set0 10b180808000 call49<__wasm_call_dtors> 2000 local.get0
